DATE,RRSFS_PC1,RSALES_PC1
1998-11-01,4.46001,4.93654
1998-12-01,4.95237,5.17241
1999-01-01,4.85048,5.84520
1999-02-01,5.93294,6.76027
1999-03-01,5.71734,6.28616
1999-04-01,4.60166,5.71185
1999-05-01,5.24818,6.35150
1999-06-01,4.83486,5.72446
1999-07-01,6.16682,7.23846
1999-08-01,7.65227,8.66653
1999-09-01,6.73671,7.34583
1999-10-01,5.24712,6.30916
1999-11-01,5.69367,6.91765
1999-12-01,6.61123,7.82834
2000-01-01,5.62816,7.14315
2000-02-01,5.61848,6.99623
2000-03-01,5.80327,7.34959
2000-04-01,4.21392,6.00901
2000-05-01,3.30390,4.83989
2000-06-01,3.18225,4.34486
2000-07-01,2.21441,4.49348
2000-08-01,1.47496,3.28191
2000-09-01,2.66293,3.75544
2000-10-01,2.24332,3.34925
2000-11-01,0.70674,1.47056
2000-12-01,-1.19784,-0.01029
2001-01-01,0.29307,0.68946
2001-02-01,-1.01117,-0.68306
2001-03-01,-2.45198,-1.60383
2001-04-01,0.37138,-0.15358
2001-05-01,0.15329,.
2001-06-01,-0.62161,.
2001-07-01,-0.19447,.
2001-08-01,0.38094,.
2001-09-01,-3.04107,.
2001-10-01,4.14456,.
2001-11-01,2.08135,.
2001-12-01,1.24592,.
2002-01-01,0.47484,.
2002-02-01,1.10421,.
2002-03-01,1.44281,.
2002-04-01,1.19419,.
2002-05-01,-0.01323,.
2002-06-01,1.40182,.
2002-07-01,2.39217,.
2002-08-01,2.20699,.
2002-09-01,2.90486,.
2002-10-01,-3.63894,.
2002-11-01,-0.71467,.
2002-12-01,1.10240,.
2003-01-01,1.34635,.
2003-02-01,-0.97101,.
2003-03-01,1.18305,.
2003-04-01,0.16451,.
2003-05-01,2.08760,.
2003-06-01,2.27115,.
2003-07-01,2.15714,.
2003-08-01,2.89947,.
2003-09-01,3.61148,.
2003-10-01,3.15437,.
2003-11-01,3.84441,.
2003-12-01,2.49309,.
2004-01-01,2.66372,.
2004-02-01,5.17063,.
2004-03-01,5.11810,.
2004-04-01,3.68259,.
2004-05-01,4.57852,.
2004-06-01,1.88950,.
2004-07-01,2.21474,.
2004-08-01,1.05374,.
2004-09-01,3.46442,.
2004-10-01,3.87987,.
2004-11-01,2.54481,.
2004-12-01,4.46783,.
2005-01-01,3.34643,.
2005-02-01,3.77845,.
2005-03-01,1.98901,.
2005-04-01,3.86680,.
2005-05-01,1.95243,.
2005-06-01,6.51341,.
2005-07-01,5.56054,.
2005-08-01,3.84063,.
2005-09-01,1.17540,.
2005-10-01,0.92206,.
2005-11-01,2.52200,.
2005-12-01,1.29793,.
2006-01-01,4.51173,.
2006-02-01,2.77139,.
2006-03-01,3.09696,.
2006-04-01,2.48784,.
2006-05-01,2.55223,.
2006-06-01,-0.14077,.
2006-07-01,-0.49769,.
2006-08-01,1.09444,.
2006-09-01,2.30383,.
2006-10-01,2.72991,.
2006-11-01,1.44073,.
2006-12-01,2.12124,.
2007-01-01,-0.31066,.
2007-02-01,0.19675,.
2007-03-01,0.42111,.
2007-04-01,-0.13701,.
2007-05-01,1.24605,.
2007-06-01,0.17367,.
2007-07-01,0.62282,.
2007-08-01,1.04021,.
2007-09-01,1.01242,.
2007-10-01,1.04594,.
2007-11-01,1.03568,.
2007-12-01,-1.15585,.
2008-01-01,-1.05351,.
2008-02-01,-1.91374,.
2008-03-01,-2.35952,.
2008-04-01,-2.07935,.
2008-05-01,-2.60691,.
2008-06-01,-2.55501,.
2008-07-01,-3.81995,.
2008-08-01,-4.80361,.
2008-09-01,-6.28880,.
2008-10-01,-9.33495,.
2008-11-01,-11.40315,.
2008-12-01,-11.25642,.
2009-01-01,-10.10670,.
2009-02-01,-9.75827,.
2009-03-01,-11.13841,.
2009-04-01,-10.54805,.
2009-05-01,-10.19853,.
2009-06-01,-8.59097,.
2009-07-01,-7.39088,.
2009-08-01,-5.47834,.
2009-09-01,-6.40585,.
2009-10-01,-2.98363,.
2009-11-01,-0.42587,.
2009-12-01,1.35779,.
2010-01-01,0.11951,.
2010-02-01,1.16692,.
2010-03-01,5.13536,.
2010-04-01,5.49311,.
2010-05-01,3.83211,.
2010-06-01,3.03526,.
2010-07-01,2.75441,.
2010-08-01,1.72894,.
2010-09-01,4.96821,.
2010-10-01,5.17170,.
2010-11-01,5.52713,.
2010-12-01,5.18759,.
2011-01-01,5.59091,.
2011-02-01,5.89949,.
2011-03-01,3.99944,.
2011-04-01,3.40222,.
2011-05-01,3.83308,.
2011-06-01,4.54788,.
2011-07-01,4.22338,.
2011-08-01,3.73267,.
2011-09-01,3.94574,.
2011-10-01,3.61890,.
2011-11-01,3.04144,.
2011-12-01,2.96562,.
2012-01-01,3.24750,.
2012-02-01,3.69358,.
2012-03-01,3.49673,.
2012-04-01,2.69001,.
2012-05-01,3.21395,.
2012-06-01,1.69602,.
2012-07-01,2.38412,.
2012-08-01,3.01001,.
2012-09-01,2.55635,.
2012-10-01,1.89628,.
2012-11-01,2.26190,.
